p_partkey|p_name|p_mfgr|p_brand|p_type|p_size|p_container|p_retailprice|p_comment
9160|forest navajo mint sky dodger|Manufacturer#1|Brand#12|ECONOMY POLISHED COPPER|46|WRAP DRUM|1069.16| even deposits 
9161|midnight blue snow cyan dim|Manufacturer#3|Brand#32|SMALL BURNISHED TIN|15|MED PKG|1070.16|lly even ideas wake
9162|sky misty saddle blue forest|Manufacturer#4|Brand#41|SMALL BURNISHED TIN|11|WRAP BAG|1071.16| boost blithely exp
9163|spring cyan pale chocolate tan|Manufacturer#3|Brand#33|PROMO PLATED STEEL|8|SM PACK|1072.16|refully p
9164|indian pink midnight seashell rosy|Manufacturer#1|Brand#11|MEDIUM ANODIZED COPPER|47|WRAP PACK|1073.16|eas. 
9165|burlywood goldenrod azure dark wheat|Manufacturer#2|Brand#23|STANDARD PLATED COPPER|35|WRAP CASE|1074.16|e slyly regular 
9166|rose brown violet black drab|Manufacturer#3|Brand#33|LARGE BRUSHED BRASS|39|MED DRUM|1075.16|foxes serve fluffily
9167|powder drab bisque pale cyan|Manufacturer#5|Brand#52|SMALL POLISHED NICKEL|12|SM DRUM|1076.16|ng foxes. qui
9168|ivory tomato aquamarine sky light|Manufacturer#4|Brand#43|STANDARD BURNISHED TIN|11|MED JAR|1077.16|nal, even packages 
9169|olive forest royal slate rosy|Manufacturer#5|Brand#52|SMALL BRUSHED TIN|14|LG DRUM|1078.16|unts are stealthil
9170|dim goldenrod burnished medium pink|Manufacturer#5|Brand#51|ECONOMY ANODIZED STEEL|49|LG PACK|1079.17|xes boost s
9171|wheat navy peach thistle rosy|Manufacturer#4|Brand#41|ECONOMY BURNISHED TIN|15|JUMBO BOX|1080.17|haggle 
9172|powder bisque steel thistle blush|Manufacturer#3|Brand#35|PROMO POLISHED BRASS|22|LG DRUM|1081.17|slyly ironic 
9173|cornsilk beige azure dim violet|Manufacturer#2|Brand#21|LARGE BRUSHED BRASS|4|SM PKG|1082.17|y even accoun
9174|wheat lawn beige linen bisque|Manufacturer#4|Brand#44|MEDIUM ANODIZED TIN|39|WRAP PACK|1083.17|rding t
9175|peru seashell lawn tomato brown|Manufacturer#1|Brand#13|STANDARD BURNISHED TIN|47|MED BOX|1084.17|usly furiously i
9176|misty red deep green bisque|Manufacturer#4|Brand#42|SMALL PLATED BRASS|2|SM CAN|1085.17|ounts are b
9177|rose lime floral grey ghost|Manufacturer#5|Brand#51|SMALL BURNISHED BRASS|48|SM PACK|1086.17|s, unusual excuses.
9178|purple smoke sandy aquamarine pink|Manufacturer#5|Brand#51|MEDIUM BURNISHED NICKEL|3|MED BOX|1087.17|ular deposi
9179|brown cream navajo burlywood aquamarine|Manufacturer#2|Brand#25|LARGE PLATED STEEL|13|WRAP CASE|1088.17|n theo
9180|navajo moccasin bisque medium chartreuse|Manufacturer#2|Brand#21|STANDARD PLATED BRASS|33|SM CASE|1089.18|aggle fluffily. b
9181|burlywood azure sky steel lavender|Manufacturer#4|Brand#44|MEDIUM BRUSHED BRASS|29|JUMBO PACK|1090.18|ggle si
9182|cyan papaya snow salmon navy|Manufacturer#4|Brand#43|ECONOMY BURNISHED NICKEL|9|WRAP DRUM|1091.18|sometimes express pack
9183|aquamarine cornflower violet blue turquoise|Manufacturer#1|Brand#14|LARGE BRUSHED STEEL|5|JUMBO PACK|1092.18|sits. express de
9184|hot sienna antique brown turquoise|Manufacturer#2|Brand#21|LARGE POLISHED BRASS|40|WRAP DRUM|1093.18|s wake fu
9185|dark salmon puff lemon pale|Manufacturer#2|Brand#23|PROMO BRUSHED BRASS|50|LG PACK|1094.18| care
9186|sky cornflower saddle violet red|Manufacturer#1|Brand#14|ECONOMY POLISHED NICKEL|21|SM PACK|1095.18|s. blithely fluffy fox
9187|sandy beige sienna lemon rose|Manufacturer#3|Brand#31|STANDARD ANODIZED TIN|21|LG PACK|1096.18|nstructions about the 
9188|drab plum misty rosy red|Manufacturer#3|Brand#34|LARGE BURNISHED TIN|41|WRAP PACK|1097.18|y reg
9189|royal cornflower chiffon chocolate puff|Manufacturer#1|Brand#14|MEDIUM BRUSHED TIN|16|WRAP CAN|1098.18|equests are. pin
9190|light blanched black antique lace|Manufacturer#4|Brand#43|LARGE BRUSHED BRASS|40|JUMBO BOX|1099.19|ages 
9191|olive medium puff drab blue|Manufacturer#5|Brand#51|PROMO POLISHED NICKEL|16|SM DRUM|1100.19|ar package
9192|orchid white steel orange azure|Manufacturer#2|Brand#21|MEDIUM PLATED TIN|39|SM CAN|1101.19| accounts use
9193|snow drab wheat cyan papaya|Manufacturer#1|Brand#13|ECONOMY ANODIZED COPPER|33|WRAP BAG|1102.19|refully
9194|moccasin chiffon forest metallic dodger|Manufacturer#1|Brand#12|LARGE POLISHED BRASS|42|MED PKG|1103.19|egular foxe
9195|lavender green brown linen dark|Manufacturer#4|Brand#43|PROMO ANODIZED BRASS|1|SM CASE|1104.19| blithely regular i
9196|saddle light lavender lace cyan|Manufacturer#4|Brand#43|MEDIUM POLISHED STEEL|7|SM PACK|1105.19|th the f
9197|sienna dodger olive peach snow|Manufacturer#1|Brand#15|MEDIUM PLATED COPPER|9|LG JAR|1106.19|thely regular package
9198|pink olive black papaya medium|Manufacturer#2|Brand#25|MEDIUM POLISHED STEEL|21|SM PKG|1107.19|, bold depe
9199|midnight snow cream beige sienna|Manufacturer#5|Brand#51|STANDARD PLATED COPPER|14|SM CAN|1108.19|o the 
9200|ivory purple aquamarine goldenrod gainsboro|Manufacturer#4|Brand#41|ECONOMY PLATED TIN|37|JUMBO BOX|1109.20| regular epitaphs
9201|wheat purple navy aquamarine indian|Manufacturer#4|Brand#43|MEDIUM PLATED COPPER|12|LG PACK|1110.20|efully un
9202|magenta dodger plum burlywood spring|Manufacturer#4|Brand#44|PROMO ANODIZED NICKEL|7|LG PACK|1111.20|luffily above the
9203|bisque sandy goldenrod chartreuse coral|Manufacturer#3|Brand#35|PROMO POLISHED STEEL|21|SM JAR|1112.20|riously pe
9204|turquoise lace grey deep blush|Manufacturer#3|Brand#34|SMALL ANODIZED STEEL|7|MED JAR|1113.20|pinto beans haggle. pe
9205|lavender pale antique indian blue|Manufacturer#2|Brand#21|STANDARD ANODIZED TIN|29|LG CASE|1114.20|nts engage p
9206|drab grey red sky midnight|Manufacturer#5|Brand#51|PROMO BRUSHED BRASS|50|SM DRUM|1115.20|refully ir
9207|blush blanched magenta metallic peru|Manufacturer#4|Brand#43|LARGE PLATED BRASS|2|WRAP PKG|1116.20| pinto beans. bli
9208|cyan tomato pale cornflower puff|Manufacturer#5|Brand#51|LARGE PLATED NICKEL|38|WRAP PACK|1117.20| blithe
9209|cornflower cyan chartreuse wheat blue|Manufacturer#2|Brand#23|ECONOMY BURNISHED BRASS|5|MED CAN|1118.20|. furiously even depo
9210|almond peru blush navajo azure|Manufacturer#3|Brand#31|LARGE ANODIZED BRASS|3|SM BOX|1119.21|mong the quickly
9211|medium brown maroon firebrick peach|Manufacturer#2|Brand#24|PROMO BRUSHED STEEL|50|SM CASE|1120.21|uests. even
9212|wheat salmon indian steel olive|Manufacturer#1|Brand#13|ECONOMY POLISHED STEEL|33|WRAP CAN|1121.21|pendencies above the b
9213|snow deep yellow brown moccasin|Manufacturer#1|Brand#12|ECONOMY POLISHED COPPER|22|SM DRUM|1122.21|e regular pin
9214|red ivory lemon puff violet|Manufacturer#1|Brand#15|SMALL ANODIZED BRASS|27|WRAP BOX|1123.21|ing to 
9215|saddle burnished lavender pale navajo|Manufacturer#2|Brand#22|SMALL ANODIZED STEEL|38|LG PACK|1124.21|al, regular requests a
9216|chiffon orange coral royal chartreuse|Manufacturer#2|Brand#22|MEDIUM BRUSHED TIN|45|SM PACK|1125.21|er the expr
9217|dim royal ghost spring pale|Manufacturer#3|Brand#35|MEDIUM PLATED COPPER|47|MED BAG|1126.21| carefully 
9218|papaya burlywood blue puff light|Manufacturer#2|Brand#23|PROMO POLISHED COPPER|6|JUMBO BAG|1127.21|usly. instruct
9219|frosted chiffon puff magenta salmon|Manufacturer#4|Brand#44|ECONOMY PLATED BRASS|33|MED PACK|1128.21|al accounts. f
9220|pink ivory white orchid almond|Manufacturer#3|Brand#34|SMALL ANODIZED STEEL|36|LG JAR|1129.22| ironic instru
9221|sandy lime goldenrod bisque cornsilk|Manufacturer#1|Brand#15|ECONOMY BRUSHED COPPER|41|JUMBO PKG|1130.22|dugou
9222|lavender drab olive wheat ghost|Manufacturer#3|Brand#34|PROMO BURNISHED BRASS|5|JUMBO JAR|1131.22| blit
9223|steel antique lavender metallic navajo|Manufacturer#3|Brand#33|ECONOMY PLATED COPPER|45|LG DRUM|1132.22|r dolphins wake clo
9224|violet royal blush chocolate firebrick|Manufacturer#5|Brand#52|ECONOMY POLISHED TIN|26|WRAP JAR|1133.22| to t
9225|azure yellow peach chartreuse lavender|Manufacturer#4|Brand#42|SMALL ANODIZED NICKEL|22|MED DRUM|1134.22|r depend
9226|floral plum burnished ivory indian|Manufacturer#1|Brand#13|SMALL ANODIZED TIN|3|JUMBO JAR|1135.22|deposits m
9227|sienna indian spring yellow mint|Manufacturer#4|Brand#45|PROMO ANODIZED COPPER|37|JUMBO JAR|1136.22|es haggle pint
9228|light deep pale forest sienna|Manufacturer#5|Brand#54|LARGE ANODIZED TIN|1|WRAP CASE|1137.22|s integrate c
9229|orange plum rosy burnished blue|Manufacturer#5|Brand#54|ECONOMY PLATED TIN|24|WRAP DRUM|1138.22|carefully regular req
9230|honeydew cyan lavender chocolate ivory|Manufacturer#3|Brand#31|MEDIUM POLISHED NICKEL|43|WRAP DRUM|1139.23|aggle along t
9231|royal plum brown lime ivory|Manufacturer#2|Brand#24|STANDARD BRUSHED COPPER|23|MED PKG|1140.23|nst the fluffily 
9232|magenta navajo indian dodger powder|Manufacturer#1|Brand#12|ECONOMY BURNISHED STEEL|12|SM CAN|1141.23|ly quic
9233|seashell brown antique royal almond|Manufacturer#3|Brand#31|STANDARD BRUSHED COPPER|15|MED CAN|1142.23|thely unusual de
9234|tomato spring ivory moccasin chiffon|Manufacturer#5|Brand#51|LARGE POLISHED NICKEL|1|SM JAR|1143.23|fily iro
9235|coral navy wheat light grey|Manufacturer#5|Brand#55|STANDARD PLATED COPPER|46|MED CAN|1144.23| around the regular i
9236|drab puff gainsboro spring thistle|Manufacturer#1|Brand#15|LARGE POLISHED BRASS|24|WRAP JAR|1145.23|ironic accounts r
9237|tan khaki lime magenta peru|Manufacturer#3|Brand#33|STANDARD PLATED STEEL|31|MED DRUM|1146.23| even dolph
9238|tomato orchid grey dim forest|Manufacturer#2|Brand#24|PROMO POLISHED BRASS|3|WRAP CASE|1147.23| carefully special f
9239|midnight blush peru beige misty|Manufacturer#3|Brand#34|LARGE POLISHED NICKEL|35|JUMBO BAG|1148.23|ely final i
9240|pale mint magenta navy tan|Manufacturer#3|Brand#34|LARGE BRUSHED NICKEL|25|WRAP PKG|1149.24|y above the
9241|burnished floral beige lemon peru|Manufacturer#2|Brand#25|STANDARD POLISHED TIN|2|LG PKG|1150.24|deposits
9242|dim purple orchid mint almond|Manufacturer#1|Brand#15|MEDIUM PLATED STEEL|36|LG PACK|1151.24|e quickly silent p
9243|thistle ivory frosted smoke rose|Manufacturer#1|Brand#11|STANDARD BURNISHED TIN|39|LG CASE|1152.24|. ironic, final cou
9244|burnished orchid tan midnight saddle|Manufacturer#5|Brand#55|SMALL BRUSHED COPPER|45|JUMBO CAN|1153.24|sual requests among 
9245|cornsilk chiffon seashell spring slate|Manufacturer#1|Brand#12|LARGE BRUSHED BRASS|28|JUMBO JAR|1154.24| doze. pending dolphin
9246|slate firebrick black gainsboro dodger|Manufacturer#2|Brand#24|LARGE ANODIZED TIN|45|SM CASE|1155.24|carefully
9247|cream chiffon dodger dim sandy|Manufacturer#5|Brand#54|PROMO POLISHED NICKEL|40|LG PACK|1156.24|lar ide
9248|cyan sky khaki blue peach|Manufacturer#2|Brand#22|LARGE POLISHED BRASS|46|WRAP JAR|1157.24|haggle after the pac
9249|ghost saddle pale burlywood white|Manufacturer#5|Brand#51|PROMO ANODIZED NICKEL|2|LG CAN|1158.24| fluffily ironic theod
9250|drab chiffon beige plum smoke|Manufacturer#5|Brand#51|MEDIUM POLISHED TIN|35|SM CASE|1159.25|pende
9251|lace peru sky chocolate bisque|Manufacturer#4|Brand#43|STANDARD BRUSHED BRASS|12|JUMBO CASE|1160.25|theodolites boost fl
9252|grey drab sandy azure blush|Manufacturer#4|Brand#45|LARGE BURNISHED NICKEL|37|JUMBO CASE|1161.25|: pend
9253|almond moccasin dodger yellow smoke|Manufacturer#2|Brand#24|SMALL ANODIZED BRASS|39|LG CAN|1162.25|fully. carefully un
9254|misty magenta pale cornflower cream|Manufacturer#5|Brand#55|LARGE BRUSHED STEEL|22|WRAP BOX|1163.25| quickly. sl
9255|sandy pink ivory brown yellow|Manufacturer#5|Brand#53|MEDIUM POLISHED BRASS|6|WRAP CASE|1164.25|ts nag f
9256|khaki tomato violet brown black|Manufacturer#5|Brand#53|SMALL BRUSHED STEEL|2|JUMBO JAR|1165.25|y final platelets. 
9257|navajo deep bisque smoke cream|Manufacturer#1|Brand#13|PROMO POLISHED BRASS|16|WRAP DRUM|1166.25| regular p
9258|yellow tomato frosted brown pink|Manufacturer#2|Brand#21|MEDIUM PLATED BRASS|32|LG PKG|1167.25|egular foxes-- e
9259|peach smoke gainsboro powder ghost|Manufacturer#1|Brand#13|MEDIUM POLISHED COPPER|10|SM JAR|1168.25| sleep slyly even, e
9260|royal ivory black steel maroon|Manufacturer#5|Brand#54|ECONOMY ANODIZED COPPER|29|LG CASE|1169.26| blithely even som
9261|chocolate peach saddle frosted forest|Manufacturer#5|Brand#52|MEDIUM ANODIZED BRASS|42|WRAP JAR|1170.26|er the requests. sp
9262|deep azure cyan black gainsboro|Manufacturer#5|Brand#52|LARGE PLATED STEEL|5|JUMBO CASE|1171.26|regular pinto bean
9263|violet magenta yellow maroon misty|Manufacturer#5|Brand#54|LARGE PLATED STEEL|4|SM PKG|1172.26|special dep
9264|spring lime azure hot rosy|Manufacturer#3|Brand#35|PROMO BURNISHED STEEL|11|JUMBO PACK|1173.26|g above the pendi
9265|chiffon hot tomato sienna steel|Manufacturer#1|Brand#12|SMALL ANODIZED COPPER|10|LG PKG|1174.26|ions are
9266|spring pale gainsboro lawn khaki|Manufacturer#1|Brand#11|STANDARD BRUSHED STEEL|46|LG PACK|1175.26|st the enticingly iro
9267|papaya sandy almond indian tan|Manufacturer#5|Brand#53|PROMO BRUSHED COPPER|45|SM BAG|1176.26|. furiously bold f
9268|steel almond burnished dim navy|Manufacturer#3|Brand#35|SMALL ANODIZED STEEL|12|MED BAG|1177.26| accounts. deposi
9269|lime light ivory navy maroon|Manufacturer#5|Brand#54|SMALL POLISHED STEEL|42|LG BOX|1178.26|the carefully even 
9270|beige dodger peru sandy royal|Manufacturer#5|Brand#53|SMALL ANODIZED NICKEL|36|WRAP CAN|1179.27|cial packages b
9271|wheat metallic grey powder yellow|Manufacturer#5|Brand#52|ECONOMY PLATED STEEL|7|JUMBO CAN|1180.27|nto beans use fluffily
9272|olive slate sienna burnished antique|Manufacturer#5|Brand#54|LARGE BURNISHED NICKEL|38|LG PKG|1181.27|e furiously pe
9273|purple chiffon pink ghost sandy|Manufacturer#1|Brand#11|ECONOMY BURNISHED NICKEL|31|SM CASE|1182.27|uests ar
9274|lime navajo tan red peach|Manufacturer#1|Brand#13|LARGE BURNISHED COPPER|45|LG DRUM|1183.27|ut the asymptotes. re
9275|floral blanched blush plum cream|Manufacturer#4|Brand#43|SMALL BRUSHED STEEL|38|WRAP JAR|1184.27| deposits. fin
9276|rosy medium dim red drab|Manufacturer#1|Brand#15|MEDIUM PLATED TIN|39|LG BOX|1185.27|as integrate slyly. 
9277|chartreuse beige steel lace blush|Manufacturer#3|Brand#35|ECONOMY PLATED STEEL|29|JUMBO CASE|1186.27| furiousl
9278|indian tomato hot cyan green|Manufacturer#2|Brand#23|SMALL BRUSHED NICKEL|46|MED DRUM|1187.27|s the requests. fi
9279|burnished midnight cornsilk dark burlywood|Manufacturer#3|Brand#33|SMALL BRUSHED TIN|38|WRAP PACK|1188.27| instructions: fina
9280|antique drab ghost violet orange|Manufacturer#4|Brand#45|LARGE ANODIZED STEEL|29|WRAP JAR|1189.28|arefully special foxes
9281|indian orchid slate forest coral|Manufacturer#3|Brand#31|MEDIUM ANODIZED STEEL|4|JUMBO DRUM|1190.28|ously across the
9282|azure coral pale pink forest|Manufacturer#5|Brand#54|MEDIUM ANODIZED BRASS|41|MED CAN|1191.28|quests despite the
9283|mint lavender medium wheat maroon|Manufacturer#1|Brand#14|SMALL PLATED COPPER|6|LG BAG|1192.28|out the fluffily unusu
9284|lavender floral burnished spring turquoise|Manufacturer#5|Brand#54|SMALL POLISHED BRASS|8|SM CAN|1193.28|latelets. furiousl
9285|almond cornsilk lime lawn sienna|Manufacturer#4|Brand#43|ECONOMY BRUSHED NICKEL|20|SM DRUM|1194.28|oss t
9286|pale purple lemon azure antique|Manufacturer#5|Brand#55|PROMO POLISHED BRASS|4|MED BAG|1195.28|en dep
9287|slate light seashell firebrick pale|Manufacturer#4|Brand#41|LARGE PLATED TIN|1|WRAP BOX|1196.28|ffix along the reques
9288|rosy magenta turquoise lace blue|Manufacturer#1|Brand#13|ECONOMY ANODIZED STEEL|40|SM BAG|1197.28|furiously unusu
9289|tan lace light beige cyan|Manufacturer#5|Brand#51|LARGE POLISHED STEEL|30|WRAP DRUM|1198.28|carefully furiousl
9290|sienna ivory misty olive blush|Manufacturer#2|Brand#25|LARGE ANODIZED NICKEL|10|MED CASE|1199.29|its wake slyly
9291|seashell aquamarine navajo blue plum|Manufacturer#3|Brand#31|LARGE PLATED BRASS|44|LG CAN|1200.29|ges. ideas about 
9292|mint olive metallic lavender linen|Manufacturer#4|Brand#45|LARGE BURNISHED NICKEL|9|MED JAR|1201.29|slyly ironic foxes
9293|honeydew cornflower dark papaya khaki|Manufacturer#5|Brand#53|MEDIUM PLATED STEEL|6|JUMBO CASE|1202.29|regular dinos snoo
9294|chartreuse burlywood pale frosted honeydew|Manufacturer#1|Brand#14|PROMO PLATED TIN|11|JUMBO PKG|1203.29|yly acro
9295|azure green black dodger sky|Manufacturer#1|Brand#15|MEDIUM POLISHED TIN|17|WRAP BOX|1204.29|l pinto b
9296|saddle cornflower pale wheat floral|Manufacturer#2|Brand#21|MEDIUM POLISHED COPPER|43|LG BOX|1205.29|egular deposits. 
9297|powder lime cornflower honeydew drab|Manufacturer#2|Brand#22|PROMO BURNISHED TIN|17|MED BOX|1206.29|lithely car
9298|cyan orange violet lime gainsboro|Manufacturer#4|Brand#42|MEDIUM BRUSHED NICKEL|15|LG JAR|1207.29| theodolites. fin
9299|black green ghost salmon turquoise|Manufacturer#4|Brand#45|MEDIUM BURNISHED STEEL|19|MED PKG|1208.29| the special ac
9300|smoke burlywood coral metallic white|Manufacturer#2|Brand#25|SMALL BURNISHED NICKEL|22|MED PACK|1209.30|nts along th
9301|orchid beige aquamarine white floral|Manufacturer#2|Brand#23|LARGE PLATED BRASS|9|JUMBO BAG|1210.30|kages. unusual
9302|goldenrod smoke red rosy papaya|Manufacturer#5|Brand#53|SMALL BURNISHED STEEL|12|SM DRUM|1211.30|ess p
9303|dodger cornflower dim ivory chocolate|Manufacturer#2|Brand#22|ECONOMY ANODIZED TIN|49|WRAP PKG|1212.30|ffix slowly final, 
9304|turquoise drab aquamarine wheat navy|Manufacturer#2|Brand#21|ECONOMY POLISHED TIN|3|MED PKG|1213.30|eposits haggle accor
9305|light magenta spring pale cornsilk|Manufacturer#3|Brand#31|LARGE ANODIZED COPPER|40|LG BOX|1214.30|ounts mold 
9306|navajo sky tan green lawn|Manufacturer#2|Brand#22|SMALL ANODIZED NICKEL|8|LG DRUM|1215.30|packages ar
9307|deep mint antique steel black|Manufacturer#4|Brand#45|ECONOMY BRUSHED BRASS|36|SM PKG|1216.30|ronic platelets. requ
9308|blue lavender bisque royal gainsboro|Manufacturer#3|Brand#34|ECONOMY ANODIZED COPPER|14|SM JAR|1217.30|e carefully careful
9309|green chocolate tan coral orchid|Manufacturer#5|Brand#54|PROMO PLATED COPPER|8|LG PKG|1218.30|al deposits use qui
9310|ivory deep ghost rose yellow|Manufacturer#4|Brand#44|ECONOMY BRUSHED NICKEL|6|SM PACK|1219.31|final pinto beans dou
9311|lavender chartreuse gainsboro antique chocolate|Manufacturer#2|Brand#21|ECONOMY POLISHED BRASS|1|SM PKG|1220.31| alway
9312|black maroon dodger ivory snow|Manufacturer#4|Brand#43|LARGE ANODIZED BRASS|33|WRAP PKG|1221.31|e regular platelets
9313|brown gainsboro mint sky khaki|Manufacturer#1|Brand#15|SMALL POLISHED NICKEL|12|WRAP PKG|1222.31|sual warhorses. t
9314|antique rosy azure snow khaki|Manufacturer#3|Brand#33|MEDIUM POLISHED NICKEL|15|WRAP DRUM|1223.31| final depo
9315|linen burnished magenta powder brown|Manufacturer#2|Brand#23|MEDIUM BRUSHED COPPER|46|LG PKG|1224.31|s sleep. 
9316|royal snow red misty sky|Manufacturer#4|Brand#43|SMALL POLISHED COPPER|4|SM DRUM|1225.31|ter the sl
9317|rosy spring green bisque royal|Manufacturer#3|Brand#33|SMALL BRUSHED NICKEL|35|SM PACK|1226.31| of the special instru
9318|peach cornflower royal green ghost|Manufacturer#5|Brand#53|MEDIUM POLISHED COPPER|49|SM PKG|1227.31|; slyly fi
9319|brown antique white grey sky|Manufacturer#2|Brand#25|PROMO ANODIZED NICKEL|24|LG PACK|1228.31|egular
9320|powder lemon metallic sky thistle|Manufacturer#5|Brand#51|MEDIUM ANODIZED TIN|21|SM CAN|1229.32|. bold, ironic 
9321|powder royal saddle slate sienna|Manufacturer#2|Brand#22|LARGE PLATED COPPER|39|WRAP CASE|1230.32|oost 
9322|peach magenta midnight sienna rose|Manufacturer#3|Brand#31|STANDARD BRUSHED NICKEL|7|JUMBO CAN|1231.32| final platele
9323|black powder steel yellow cyan|Manufacturer#4|Brand#42|LARGE PLATED BRASS|15|JUMBO BOX|1232.32|onic, ironic ideas caj
9324|lime gainsboro orange saddle blush|Manufacturer#3|Brand#32|LARGE POLISHED BRASS|13|SM BOX|1233.32|ic packages affix ca
9325|lavender chartreuse antique azure maroon|Manufacturer#1|Brand#12|SMALL ANODIZED BRASS|42|WRAP BOX|1234.32| regular packages 
9326|beige indian yellow pink ivory|Manufacturer#5|Brand#53|ECONOMY ANODIZED NICKEL|3|SM PKG|1235.32|until the sl
9327|lime blue blanched bisque wheat|Manufacturer#3|Brand#32|SMALL PLATED STEEL|17|JUMBO BAG|1236.32|ounts alon
9328|coral floral turquoise snow goldenrod|Manufacturer#3|Brand#34|SMALL PLATED BRASS|13|SM PACK|1237.32|brave, regula
9329|deep light puff lime navy|Manufacturer#3|Brand#31|LARGE POLISHED NICKEL|30|WRAP BOX|1238.32|y even in
9330|chocolate midnight floral salmon gainsboro|Manufacturer#4|Brand#45|SMALL ANODIZED STEEL|4|LG CAN|1239.33|the fl
9331|black brown light lace linen|Manufacturer#5|Brand#52|PROMO BRUSHED NICKEL|5|MED JAR|1240.33| slyly. slyly final
9332|chiffon brown blanched peach green|Manufacturer#3|Brand#33|SMALL ANODIZED BRASS|44|WRAP CASE|1241.33|he regula
9333|salmon honeydew cyan tomato puff|Manufacturer#1|Brand#14|LARGE PLATED STEEL|22|LG BAG|1242.33|ly ironic sauternes a
9334|yellow cyan black peach sienna|Manufacturer#3|Brand#33|STANDARD BRUSHED BRASS|38|MED CAN|1243.33| above the requests. 
9335|rose sky pink purple slate|Manufacturer#2|Brand#22|ECONOMY BURNISHED TIN|20|LG DRUM|1244.33|, regular theodolites 
9336|bisque aquamarine magenta cream lime|Manufacturer#1|Brand#12|MEDIUM BURNISHED TIN|40|WRAP DRUM|1245.33|iously regular reques
9337|coral misty lemon rosy magenta|Manufacturer#2|Brand#23|MEDIUM PLATED STEEL|17|LG BOX|1246.33|y above
9338|maroon rose indian sky blush|Manufacturer#3|Brand#33|MEDIUM ANODIZED TIN|41|WRAP CAN|1247.33| final pinto beans
9339|drab brown indian seashell bisque|Manufacturer#1|Brand#15|STANDARD PLATED BRASS|29|JUMBO BOX|1248.33|uickly even foxes 
9340|puff burlywood medium yellow hot|Manufacturer#4|Brand#45|STANDARD BRUSHED BRASS|10|JUMBO CAN|1249.34|en acc
9341|chiffon seashell sandy firebrick saddle|Manufacturer#1|Brand#12|PROMO BURNISHED NICKEL|20|SM DRUM|1250.34|hinly-- final, bol
9342|pink brown coral frosted seashell|Manufacturer#3|Brand#34|PROMO BRUSHED STEEL|38|LG DRUM|1251.34|ins. ironic,
9343|bisque rose khaki azure thistle|Manufacturer#2|Brand#24|MEDIUM BURNISHED NICKEL|4|WRAP BOX|1252.34| the slyl
9344|dim rose sky misty deep|Manufacturer#1|Brand#13|LARGE BURNISHED BRASS|1|MED BOX|1253.34|wake slyly 
9345|puff almond yellow khaki maroon|Manufacturer#1|Brand#12|ECONOMY ANODIZED COPPER|35|LG BOX|1254.34|arefull
9346|green rosy plum spring forest|Manufacturer#2|Brand#24|MEDIUM PLATED STEEL|50|JUMBO PACK|1255.34|ts x-ra
9347|burlywood ghost slate dark dodger|Manufacturer#3|Brand#35|PROMO POLISHED NICKEL|34|WRAP PACK|1256.34|t pinto beans
9348|deep brown linen midnight papaya|Manufacturer#2|Brand#22|STANDARD PLATED TIN|32|SM JAR|1257.34|final package
9349|pink pale snow white hot|Manufacturer#1|Brand#14|SMALL BRUSHED COPPER|32|WRAP PKG|1258.34|nag carefully sly
9350|light forest slate drab ghost|Manufacturer#5|Brand#55|MEDIUM BRUSHED TIN|37|LG CAN|1259.35|its h
9351|azure tan turquoise sky cyan|Manufacturer#3|Brand#33|SMALL PLATED BRASS|25|JUMBO CASE|1260.35|ke id
9352|navy peru ivory chiffon tomato|Manufacturer#3|Brand#34|PROMO ANODIZED BRASS|41|WRAP BAG|1261.35| unusual pinto b
9353|tomato salmon grey plum saddle|Manufacturer#2|Brand#25|MEDIUM PLATED BRASS|33|JUMBO DRUM|1262.35|g the carefull
9354|lace beige drab sienna chocolate|Manufacturer#1|Brand#11|PROMO ANODIZED BRASS|35|JUMBO BAG|1263.35|eposits.
9355|drab azure moccasin slate pale|Manufacturer#3|Brand#35|SMALL BURNISHED COPPER|35|JUMBO BAG|1264.35|ess, p
9356|papaya thistle olive floral beige|Manufacturer#2|Brand#23|MEDIUM POLISHED TIN|4|JUMBO CAN|1265.35|even packages. regu
9357|frosted magenta cream indian lawn|Manufacturer#3|Brand#34|PROMO BRUSHED BRASS|40|JUMBO BOX|1266.35|bout th
9358|ghost cyan snow rose cornsilk|Manufacturer#4|Brand#45|MEDIUM POLISHED TIN|32|LG PKG|1267.35|l deposits 
9359|sienna saddle brown lime blanched|Manufacturer#5|Brand#52|PROMO BRUSHED TIN|10|MED PACK|1268.35|he fluffily express 
9360|ghost rose orchid sienna chartreuse|Manufacturer#5|Brand#54|SMALL BURNISHED TIN|1|MED PACK|1269.36|. special,
9361|salmon chiffon midnight azure coral|Manufacturer#1|Brand#14|SMALL PLATED TIN|20|SM BOX|1270.36|ages nag iro
9362|dodger dim peru floral indian|Manufacturer#4|Brand#42|MEDIUM ANODIZED COPPER|48|MED PKG|1271.36|about the furiou
9363|yellow chocolate brown cyan indian|Manufacturer#3|Brand#32|MEDIUM BRUSHED BRASS|49|WRAP BOX|1272.36|uests. fluffil
9364|wheat puff sky hot lime|Manufacturer#5|Brand#54|MEDIUM POLISHED STEEL|11|MED CAN|1273.36|lly ex
9365|cyan chocolate dark metallic violet|Manufacturer#4|Brand#41|LARGE ANODIZED BRASS|48|SM CASE|1274.36|. requests wake 
